player_id,player_name,first_name,last_name,age,nationality,height,weight,birth_date,birth_place,birth_country,photo
738,Sergio Ramos,Sergio,Ramos García,39.0,Spain,184,82,1986-03-30,Camas,Spain,https://media.api-sports.io/football/players/738.png
897,M. Greenwood,Mason Will John,Greenwood,24.0,England,181,70,2001-10-01,Bradford,England,https://media.api-sports.io/football/players/897.png
1920,N. Radonjić,Nemanja,Radonjić,29.0,Serbia,185,78,1996-02-15,Niš,Serbia,https://media.api-sports.io/football/players/1920.png
22233,B. Soumaré,Boubakary,Soumaré,26.0,France,188,70,1999-02-27,Noisy-le-Sec,France,https://media.api-sports.io/football/players/22233.png
41973,Miguel Crespo,Miguel,Crespo da Silva,29.0,Portugal,186,73,1996-09-11,Lyon,France,https://media.api-sports.io/football/players/41973.png
51051,J. Araujo,Julián Vicente,Araujo Zúñiga,24.0,Mexico,175,70,2001-08-13,Lompoc,USA,https://media.api-sports.io/football/players/51051.png
180560,H. Mejbri,Hannibal,Mejbri,22.0,Tunisia,177,74,2003-01-21,Ivry-sur-Seine,France,https://media.api-sports.io/football/players/180560.png
288699,M. Perrone,Máximo,Perrone,22.0,Argentina,177,68,2003-01-07,Buenos Aires,Argentina,https://media.api-sports.io/football/players/288699.png
350073,Marcos Fernández,Marcos,Fernández Cózar,22.0,Spain,176 cm,68 kg,2003-07-17,Andratx,Spain,https://media.api-sports.io/football/players/350073.png
614,C. Bravo,Claudio Andrés,Bravo Muñoz,42.0,Chile,184,84,1983-04-13,Buin,Chile,https://media.api-sports.io/football/players/614.png
763,Daniel Fuzato,Daniel,Cerantola Fuzato,28.0,Brazil,190,88,1997-07-04,Santa Bárbara D'Oeste,Brazil,https://media.api-sports.io/football/players/763.png
925,Gonçalo Guedes,Gonçalo Manuel,Ganchinho Guedes,29.0,Portugal,179,68,1996-11-29,Benavente,Portugal,https://media.api-sports.io/football/players/925.png
1117,K. Tierney,Kieran,Tierney,28.0,Scotland,178,70,1997-06-05,Douglas,Scotland,https://media.api-sports.io/football/players/1117.png
2063,André Silva,André Miguel,Valente da Silva,30.0,Portugal,185,84,1995-11-06,Gondomar,Portugal,https://media.api-sports.io/football/players/2063.png
8493,R. Yaremchuk,Roman,Yaremchuk,30.0,Ukraine,191,79,1995-11-27,Lviv,Ukraine,https://media.api-sports.io/football/players/8493.png
43084,I. Hagi,Ianis,Hagi,27.0,Romania,182,74,1998-10-22,İstanbul,Türkiye,https://media.api-sports.io/football/players/43084.png
161877,Pablo Gozálbez,Pablo,Gozálbez Gilabert,24.0,Spain,170,66,2001-04-30,Canet d'en Berenguer,Spain,https://media.api-sports.io/football/players/161877.png
182685,Diego Collado,Diego,Collado Raya,24.0,Spain,183 cm,73 kg,2001-01-09,Granada,Spain,https://media.api-sports.io/football/players/182685.png
195717,Y. Mosquera,Yerson,Mosquera Valdelamar,24.0,Colombia,187,76,2001-05-02,Apartadó,Colombia,https://media.api-sports.io/football/players/195717.png
197800,Unai Ropero,Unai,Ropero Pérez,24.0,Spain,187,72,2001-11-20,Vitoria-Gasteiz,Spain,https://media.api-sports.io/football/players/197800.png
237066,Rafa Marín,Rafael,Marín Zamora,23.0,Spain,191,83,2002-05-19,Guadajoz,Spain,https://media.api-sports.io/football/players/237066.png
358628,Samu,Samuel,Omorodion Aghehowa,21.0,Spain,193,90,2004-05-05,Melilla,Spain,https://media.api-sports.io/football/players/358628.png
337843,Aitor Fraga,,,,,,,,,,
336637,Antonio Espigares,,,,,,,,,,
391131,Jose Requena,,,,,,,,,,
411702,Pau Cabanes De La Torre,,,,,,,,,,
378284,Etta Eyong,,,,,,,,,,
486068,Víctor Puig,,,,,,,,,,
440748,Alvaro Killane,,,,,,,,,,
331330,Matías Árbol,,,,,,,,,,
303378,Javier Serrano,,,,,,,,,,
158378,Enzo Barrenechea,,,,,,,,,,
19352,Sergi Canós,,,,,,,,,,
161963,Germán Valera,,,,,,,,,,
8718,Maximiliano Caufriez,,,,,,,,,,
270498,Warren Madrigal,,,,,,,,,,
1578,Giovani Lo Celso,,,,,,,,,,
340279,Vitor Roque,,,,,,,,,,
443162,Jesus Rodriguez,,,,,,,,,,
1826,Sébastien Haller,,,,,,,,,,
403,Matija Nastasić,,,,,,,,,,
2278,Marcos Alonso,,,,,,,,,,
304383,Tadeo Allende,,,,,,,,,,
570,Franco Cervi,,,,,,,,,,
18902,Kenedy,,,,,,,,,,
258,Juan Bernat,,,,,,,,,,
1461,Denis Suárez,,,,,,,,,,
47004,Fabio González,,,,,,,,,,
129791,Fábio Silva,,,,,,,,,,
308678,Dário Essugo,,,,,,,,,,
47007,Iñigo Ruiz de Galarreta,,,,,,,,,,
47277,Unai Núñez,,,,,,,,,,
281795,Yáser Asprilla,,,,,,,,,,
333447,Raúl Martínez,,,,,,,,,,
383647,Diego Kochen,,,,,,,,,,
441232,Guillermo Fernández,,,,,,,,,,
319572,Valentín Barco,,,,,,,,,,
119235,Pedro Ortiz,,,,,,,,,,
68483,Bertuğ Özgür Yıldırım,,,,,,,,,,
333373,Gorka Rivera,,,,,,,,,,
293297,John Finn,,,,,,,,,,
352859,Guillem Trilla,,,,,,,,,,
309364,Coba Gomes Da Costa,,,,,,,,,,
517,James Rodríguez,,,,,,,,,,
47495,Sergi Guardiola,,,,,,,,,,
47419,José Manuel Arnáiz,,,,,,,,,,
386872,Sergio Mestre,,,,,,,,,,
388871,Chema Andrés,,,,,,,,,,
84086,Robert Navarro,,,,,,,,,,
47514,Valery Fernández,,,,,,,,,,
195962,Chiquinho,,,,,,,,,,
47314,Igor Zubeldia,,,,,,,,,,
21694,Nayef Aguerd,,,,,,,,,,
737,Álvaro Odriozola,,,,,,,,,,
61774,Orri Steinn Óskarsson,,,,,,,,,,
2465,Juan Musso,,,,,,,,,,
133,Clément Lenglet,,,,,,,,,,
355327,Jose Luis Catala,,,,,,,,,,
128478,Walid Cheddira,,,,,,,,,,
161894,Naci Ünüvar,,,,,,,,,,
311773,Santiago Mouriño,,,,,,,,,,
47389,Joan Jordán,,,,,,,,,,
47181,Toni Martínez,,,,,,,,,,
183849,Aitor Paredes,,,,,,,,,,
482071,Diego Ferrer,,,,,,,,,,
179996,Francisco Vieites,,,,,,,,,,
270973,Lucas Alcázar,,,,,,,,,,
47492,Toni Villa,,,,,,,,,,
339105,Joel Roca,,,,,,,,,,
108519,Mateu Morey,,,,,,,,,,
653,Ferland Mendy,,,,,,,,,,
129718,Jude Bellingham,,,,,,,,,,
741,Jesús Vallejo,,,,,,,,,,
481993,Valentín Pezzolesi,,,,,,,,,,
335034,Pablo Rivera,,,,,,,,,,
360411,Alberto Collado,,,,,,,,,,
169256,Iker Álvarez,,,,,,,,,,
42642,Horațiu Moldovan,,,,,,,,,,
340154,Arthur Vermeeren,,,,,,,,,,
406266,Ali Fadal,,,,,,,,,,
2282,Andreas Christensen,,,,,,,,,,
47317,Ander Barrenetxea,,,,,,,,,,
47529,Miguel Ángel Morro,,,,,,,,,,
286795,César Fernández,,,,,,,,,,
313562,Eneko Ortiz,,,,,,,,,,
384273,Julen Lartitegi,,,,,,,,,,
390742,Joaquin Panichelli,,,,,,,,,,
47391,Rubén Peña,,,,,,,,,,
337955,Lalo Aguilar,,,,,,,,,,
313196,Joao Urbáez,,,,,,,,,,
388032,Carlos Guirao,,,,,,,,,,
385389,Alex Gil,,,,,,,,,,
29,Jan Oblak,,,,,,,,,,
753,Marcos Llorente,,,,,,,,,,
47301,Robin Le Normand,,,,,,,,,,
31,José María Giménez,,,,,,,,,,
2280,César Azpilicueta,,,,,,,,,,
136117,Rodrigo Riquelme,,,,,,,,,,
2472,Rodrigo de Paul,,,,,,,,,,
336594,Pablo Barrios,,,,,,,,,,
126936,Samuel Lino,,,,,,,,,,
56,Antoine Griezmann,,,,,,,,,,
6009,Julián Álvarez,,,,,,,,,,
67972,Conor Gallagher,,,,,,,,,,
50,Koke,,,,,,,,,,
22225,Reinildo Mandava,,,,,,,,,,
8492,Alexander Sørloth,,,,,,,,,,
53,Ángel Correa,,,,,,,,,,
333379,Antonio Gomis,,,,,,,,,,
315604,Alejandro Iturbe,,,,,,,,,,
20,Axel Witsel,,,,,,,,,,
338508,Ilias Kostis,,,,,,,,,,
47566,Javi Galán,,,,,,,,,,
6503,Nahuel Molina,,,,,,,,,,
323935,Giuliano Simeone,,,,,,,,,,
158,Paulo Gazzaniga,,,,,,,,,,
283668,Arnau Martínez,,,,,,,,,,
47334,David López,,,,,,,,,,
531,Daley Blind,,,,,,,,,,
162032,Miguel Gutiérrez,,,,,,,,,,
1700,Iván Martín,,,,,,,,,,
18949,Oriol Romeu,,,,,,,,,,
2449,Yangel Herrera,,,,,,,,,,
2182,Viktor Tsygankov,,,,,,,,,,
155,Abel Ruíz,,,,,,,,,,
2061,Bryan Gil,,,,,,,,,,
47520,Portu,,,,,,,,,,
306727,Jhon Solís,,,,,,,,,,
109564,Bojan Miovski,,,,,,,,,,
389602,Iker Almena,,,,,,,,,,
1557,Pau López,,,,,,,,,,
47153,Juan Carlos,,,,,,,,,,
66407,Ladislav Krejčí,,,,,,,,,,
47511,Juanpe,,,,,,,,,,
162434,Alejandro Francés,,,,,,,,,,
336674,Gabriel Misehouy,,,,,,,,,,
547,Donny van de Beek,,,,,,,,,,
2617,Cristhian Stuani,,,,,,,,,,
72048,Cenk Özkaçar,,,,,,,,,,
439578,David Otorbi,,,,,,,,,,
47247,David Soria,,,,,,,,,,
119742,Juan Iglesias,,,,,,,,,,
47250,Djené,,,,,,,,,,
6168,Omar Alderete,,,,,,,,,,
18867,Diego Rico,,,,,,,,,,
47085,Luis Milla,,,,,,,,,,
325415,Nabil Aberdin,,,,,,,,,,
67955,Carles Pérez,,,,,,,,,,
143,Carles Aleñá,,,,,,,,,,
47306,Álex Sola,,,,,,,,,,
403554,Christantus Uche,,,,,,,,,,
364415,Yellu Santiago,,,,,,,,,,
465838,Alberto Risco,,,,,,,,,,
270516,Peter González,,,,,,,,,,
47258,Mauro Arambarri,,,,,,,,,,
66491,Jiří Letáček,,,,,,,,,,
2039,Juan Berrocal,,,,,,,,,,
46795,Domingos Duarte,,,,,,,,,,
478243,Marco de las Sías,,,,,,,,,,
47551,Raúl de Tomás,,,,,,,,,,
730,Thibaut Courtois,,,,,,,,,,
733,Daniel Carvajal,,,,,,,,,,
372,Éder Militão,,,,,,,,,,
2285,Antonio Rüdiger,,,,,,,,,,
736,Fran García,,,,,,,,,,
756,Federico Valverde,,,,,,,,,,
1271,Aurélien Tchouaméni,,,,,,,,,,
10009,Rodrygo,,,,,,,,,,
291964,Arda Güler,,,,,,,,,,
762,Vinícius Júnior,,,,,,,,,,
278,Kylian Mbappé,,,,,,,,,,
744,Brahim Díaz,,,,,,,,,,
754,Luka Modrić,,,,,,,,,,
748,Dani Ceballos,,,,,,,,,,
377122,Endrick,,,,,,,,,,
47400,Andriy Lunin,,,,,,,,,,
396475,Fran Gonzalez,,,,,,,,,,
386305,Jacobo Naveros,,,,,,,,,,
757,Lucas Vázquez,,,,,,,,,,
1911,Lucas Ocampos,,,,,,,,,,
2468,Gonzalo Montiel,,,,,,,,,,
47353,Antonio Sivera,,,,,,,,,,
6233,Nahuel Tenaglia,,,,,,,,,,
46813,Abdelkabir Abqar,,,,,,,,,,
40419,Aleksandar Sedlar,,,,,,,,,,
64309,Manuel Sánchez,,,,,,,,,,
187214,Carlos Vicente,,,,,,,,,,
162686,Antonio Blanco,,,,,,,,,,
47309,Ander Guevara,,,,,,,,,,
51241,Tomás Conechny,,,,,,,,,,
46740,Stoichkov,,,,,,,,,,
47396,Kike García,,,,,,,,,,
263812,Luka Romero,,,,,,,,,,
324750,Carlos Martín,,,,,,,,,,
104821,Jon Guridi,,,,,,,,,,
6085,Carlos Benavídez,,,,,,,,,,
70476,Moussa Diarra,,,,,,,,,,
122471,Jesús Owono,,,,,,,,,,
163060,Adrián Rodríguez,,,,,,,,,,
295383,Adrián,,,,,,,,,,
183751,Abderrahman Rebbach,,,,,,,,,,
162170,Hugo Novoa Ramos,,,,,,,,,,
104853,Asier Villalibre,,,,,,,,,,
46672,Rui Silva,,,,,,,,,,
1264,Youssouf Sabaly,,,,,,,,,,
1561,Marc Bartra,,,,,,,,,,
47302,Diego Llorente,,,,,,,,,,
1631,Ricardo Rodríguez,,,,,,,,,,
1580,William Carvalho,,,,,,,,,,
47341,Marc Roca,,,,,,,,,,
1697,Pablo Fornals,,,,,,,,,,
668,Nabil Fekir,,,,,,,,,,
47320,Juanmi,,,,,,,,,,
47119,Aitor Ruibal,,,,,,,,,,
20600,Romain Perraud,,,,,,,,,,
47579,Chimy Ávila,,,,,,,,,,
181421,Abdessamad Ezzalzouli,,,,,,,,,,
185477,Rodri Sánchez,,,,,,,,,,
195100,Natan,,,,,,,,,,
18812,Adrián,,,,,,,,,,
456619,Manu González,,,,,,,,,,
1439,Héctor Bellerín,,,,,,,,,,
133185,Johnny,,,,,,,,,,
286084,Sergi Altimira,,,,,,,,,,
400948,Assane Diao,,,,,,,,,,
128985,Iker Losada,,,,,,,,,,
124,Jasper Cillessen,,,,,,,,,,
131535,Alex Suárez,,,,,,,,,,
44811,Scott McKenna,,,,,,,,,,
162475,Mika Mármol,,,,,,,,,,
47052,Álex Muñoz,,,,,,,,,,
46860,Javier Muñoz,,,,,,,,,,
70315,Kirian Rodríguez,,,,,,,,,,
162026,Marvin Park,,,,,,,,,,
182519,Alberto Moleiro,,,,,,,,,,
47324,Sandro Ramírez,,,,,,,,,,
19337,Oliver McBurnie,,,,,,,,,,
46854,Viti Rozada,,,,,,,,,,
21709,Enzo Loiodice,,,,,,,,,,
47111,Benito Ramírez,,,,,,,,,,
2671,Jaime Mata,,,,,,,,,,
122230,Manuel Fuster,,,,,,,,,,
1304,Dinko Horkaš,,,,,,,,,,
536,Daley Sinkgraven,,,,,,,,,,
431890,Juanma Herzog,,,,,,,,,,
182694,Iván Gil,,,,,,,,,,
453885,Aboubacar Bassinga,,,,,,,,,,
47464,José Campaña,,,,,,,,,,
47393,Marc Cardona,,,,,,,,,,
619,Eric García,,,,,,,,,,
336560,Alex Valle,,,,,,,,,,
47273,Yuri Berchiche,,,,,,,,,,
332302,Oier Gastesi,,,,,,,,,,
46646,Sergio Herrera,,,,,,,,,,
182181,Jesús Areso,,,,,,,,,,
47533,Alejandro Catena,,,,,,,,,,
182592,Jorge Herrando,,,,,,,,,,
181259,Abel Bretones,,,,,,,,,,
1825,Lucas Torró,,,,,,,,,,
46658,Rubén García,,,,,,,,,,
46662,Jon Moncayola,,,,,,,,,,
67939,Aimar Oroz,,,,,,,,,,
286639,Bryan Zaragoza,,,,,,,,,,
46746,Ante Budimir,,,,,,,,,,
47574,Moi Gómez,,,,,,,,,,
182621,Iker Muñoz,,,,,,,,,,
146751,Raúl García de Haro,,,,,,,,,,
46657,Nacho Vidal,,,,,,,,,,
139001,Pablo Ibáñez Lumbreras,,,,,,,,,,
47448,Aitor Fernández,,,,,,,,,,
348029,Dimitrios Stamatakis,,,,,,,,,,
46967,Juan Cruz,,,,,,,,,,
46652,Unai García,,,,,,,,,,
46660,Javi Martínez,,,,,,,,,,
288800,Iker Benito,,,,,,,,,,
183848,Julen Agirrezabala,,,,,,,,,,
47275,Óscar de Marcos,,,,,,,,,,
47278,Daniel Vivian,,,,,,,,,,
47271,Yeray Álvarez,,,,,,,,,,
336998,Adama Boiro,,,,,,,,,,
383780,Mikel Jauregizar,,,,,,,,,,
182617,Beñat Prados,,,,,,,,,,
47294,Iñaki Williams,,,,,,,,,,
128398,Oihan Sancet,,,,,,,,,,
190489,Álvaro Djaló,,,,,,,,,,
47291,Gorka Guruzeta,,,,,,,,,,
183799,Nico Williams,,,,,,,,,,
47418,Mikel Vesga,,,,,,,,,,
332308,Unai Gómez,,,,,,,,,,
179153,Javier Martón Ansó,,,,,,,,,,
47276,Íñigo Lekue,,,,,,,,,,
312468,Alex Padilla,,,,,,,,,,
332305,Unai Eguíluz,,,,,,,,,,
47299,Andoni Gorosabel,,,,,,,,,,
30510,Álex Berenguer,,,,,,,,,,
286593,Nico Serrano,,,,,,,,,,
898,Ander Herrera,,,,,,,,,,
288525,Malcom Ares,,,,,,,,,,
24760,Giorgi Mamardashvili,,,,,,,,,,
47251,Dimitri Foulquier,,,,,,,,,,
333672,César Tárrega,,,,,,,,,,
333682,Cristhian Mosquera,,,,,,,,,,
162175,Jesús Vázquez,,,,,,,,,,
162127,Diego López,,,,,,,,,,
47463,Pepelu,,,,,,,,,,
919,Hugo Guillamón,,,,,,,,,,
46933,Luis Rioja,,,,,,,,,,
47264,Hugo Duro,,,,,,,,,,
47013,Rafa Mir,,,,,,,,,,
41157,André Almeida,,,,,,,,,,
315699,Javier Guerra,,,,,,,,,,
348326,Martín Tejón,,,,,,,,,,
1482,Thierry Correia,,,,,,,,,,
119232,Dani Gómez,,,,,,,,,,
47527,Stole Dimitrievski,,,,,,,,,,
412737,Raúl Jiménez Latorre,,,,,,,,,,
361385,Yarek Gasiorowski,,,,,,,,,,
327496,Rodrigo Abajas,,,,,,,,,,
442188,Iker Córdoba,,,,,,,,,,
288074,Alberto Mari,,,,,,,,,,
179139,Leo Román,,,,,,,,,,
26302,Pablo Maffeo,,,,,,,,,,
46738,Martin Valjent,,,,,,,,,,
46733,Antonio Raíllo,,,,,,,,,,
64268,Johan Mojica,,,,,,,,,,
190485,Samuel Costa,,,,,,,,,,
1701,Manu Morlanes,,,,,,,,,,
47336,Sergi Darder,,,,,,,,,,
107194,Antonio Sánchez,,,,,,,,,,
50048,Vedat Muriqi,,,,,,,,,,
2001,Cyle Larin,,,,,,,,,,
46742,Dani Rodríguez,,,,,,,,,,
25375,Takuma Asano,,,,,,,,,,
414,Omar Mascarell,,,,,,,,,,
46751,Abdón Prats,,,,,,,,,,
482473,Marc Domenech,,,,,,,,,,
61142,Dominik Greif,,,,,,,,,,
47399,Iván Cuéllar,,,,,,,,,,
37639,Siebe Van Der Heyden,,,,,,,,,,
181582,José Copete,,,,,,,,,,
920,Toni Lato,,,,,,,,,,
411424,Jan Salas,,,,,,,,,,
297646,Daniel Luna,,,,,,,,,,
19172,Ørjan Nyland,,,,,,,,,,
195923,José Ángel Carmona,,,,,,,,,,
174918,Loïc Badé,,,,,,,,,,
1489,Nemanja Gudelj,,,,,,,,,,
47329,Adrià Pedrosa,,,,,,,,,,
957,Djibril Sow,,,,,,,,,,
1427,Albert Sambi Lokonga,,,,,,,,,,
48,Saúl Ñíguez,,,,,,,,,,
25458,Dodi Lukebakio,,,,,,,,,,
2778,Kelechi Iheanacho,,,,,,,,,,
39121,Chidera Ejuke,,,,,,,,,,
185398,Isaac Romero,,,,,,,,,,
182772,Juanlu Sánchez,,,,,,,,,,
2054,Jesús Navas,,,,,,,,,,
433,Marcão,,,,,,,,,,
21004,Lucien Agoumé,,,,,,,,,,
308346,Alberto Flores,,,,,,,,,,
47016,Álvaro Fernández,,,,,,,,,,
133110,Tanguy Nianzou,,,,,,,,,,
297311,Kike Salas,,,,,,,,,,
162126,Peque Fernández,,,,,,,,,,
340152,Stanis Idumbo Muzambo,,,,,,,,,,
156488,Dani Cárdenas,,,,,,,,,,
20520,Iván Balliu,,,,,,,,,,
18895,Florian Lejeune,,,,,,,,,,
15900,Abdul Mumin,,,,,,,,,,
46759,Alfonso Espino,,,,,,,,,,
128582,Jorge de Frutos,,,,,,,,,,
47285,Unai López,,,,,,,,,,
47109,Óscar Valentín,,,,,,,,,,
47543,Álvaro García,,,,,,,,,,
52,Sergio Camello,,,,,,,,,,
131546,Isi Palazón,,,,,,,,,,
41552,Ismaila Ciss,,,,,,,,,,
47554,Adrián Embarba,,,,,,,,,,
122657,Randy Nteka,,,,,,,,,,
47414,Gerard Gumbau,,,,,,,,,,
181734,Josep Chavarría,,,,,,,,,,
11379,Augusto Batalla,,,,,,,,,,
46654,Aridane Hernández,,,,,,,,,,
1703,Andrei Rațiu,,,,,,,,,,
333292,Pelayo Fernández,,,,,,,,,,
47557,Óscar Trejo,,,,,,,,,,
46887,Pedro Díaz,,,,,,,,,,
303115,Etienne Eto'o Pineda,,,,,,,,,,
127,Marc-André ter Stegen,,,,,,,,,,
1257,Jules Koundé,,,,,,,,,,
396623,Pau Cubarsí,,,,,,,,,,
2670,Iñigo Martínez,,,,,,,,,,
181701,Gerard Martín,,,,,,,,,,
433396,Marc Bernal,,,,,,,,,,
133609,Pedri,,,,,,,,,,
386828,Lamine Yamal,,,,,,,,,,
1496,Raphinha,,,,,,,,,,
931,Ferran Torres,,,,,,,,,,
521,Robert Lewandowski,,,,,,,,,,
1323,Dani Olmo,,,,,,,,,,
161928,Alejandro Balde,,,,,,,,,,
340626,Fermín López,,,,,,,,,,
263530,Pau Víctor,,,,,,,,,,
336653,Ander Astralaga,,,,,,,,,,
126,Iñaki Peña,,,,,,,,,,
386859,Hector Fort,,,,,,,,,,
396624,Sergi Domínguez,,,,,,,,,,
441244,Andrés Cuenca,,,,,,,,,,
329728,Marc Casadó,,,,,,,,,,
285909,Pablo Torre,,,,,,,,,,
122956,Diego Conde,,,,,,,,,,
18794,Kiko Femenía,,,,,,,,,,
314,Raúl Albiol,,,,,,,,,,
885,Eric Bailly,,,,,,,,,,
70500,Sergi Cardona,,,,,,,,,,
184226,Yéremy Pino,,,,,,,,,,
47541,Santi Comesaña,,,,,,,,,,
928,Dani Parejo,,,,,,,,,,
182219,Alejandro Baena,,,,,,,,,,
1707,Gerard Moreno,,,,,,,,,,
83,Arnaut Danjuma,,,,,,,,,,
18906,Ayoze Pérez,,,,,,,,,,
21997,Logan Costa,,,,,,,,,,
3246,Nicolas Pépé,,,,,,,,,,
343684,Thierno Barry,,,,,,,,,,
20696,Pape Gueye,,,,,,,,,,
278619,Luiz Júnior,,,,,,,,,,
435552,Pau Navarro,,,,,,,,,,
161931,Arnau Solà,,,,,,,,,,
288112,Willy Kambwala,,,,,,,,,,
187987,Ramón Terrats,,,,,,,,,,
290740,Ilias Akhomach,,,,,,,,,,
47427,Iván Villar,,,,,,,,,,
1364,Jailson,,,,,,,,,,
47988,Carl Starfelt,,,,,,,,,,
18896,Javier Manquillo,,,,,,,,,,
162712,Óscar Mingueza,,,,,,,,,,
286796,Damián Rodríguez,,,,,,,,,,
162123,Ilaix Moriba,,,,,,,,,,
157988,Sergio Carreira,,,,,,,,,,
119213,Alfon González,,,,,,,,,,
47348,Borja Iglesias,,,,,,,,,,
22235,Jonathan Bamba,,,,,,,,,,
329720,Hugo Álvarez,,,,,,,,,,
47435,Fran Beltrán,,,,,,,,,,
269163,Williot Swedberg,,,,,,,,,,
47445,Iago Aspas,,,,,,,,,,
26845,Anastasios Douvikas,,,,,,,,,,
18835,Vicente Guaita,,,,,,,,,,
182730,Marc Vidal,,,,,,,,,,
1926,Joseph Aidoo,,,,,,,,,,
286559,Carlos Domínguez,,,,,,,,,,
384135,Javi Rodríguez,,,,,,,,,,
313651,Hugo Sotelo,,,,,,,,,,
320517,Pablo Durán,,,,,,,,,,
162028,Juanmi Latasa,,,,,,,,,,
41320,André Ferreira,,,,,,,,,,
343205,Mario Martin,,,,,,,,,,
2036,Juan Soriano,,,,,,,,,,
21701,Valentin Rosier,,,,,,,,,,
47080,Jorge Sáenz,,,,,,,,,,
123047,Sergio González,,,,,,,,,,
46849,Javier Hernández,,,,,,,,,,
41976,Yvan Neyou,,,,,,,,,,
302051,Seydouba Cisse,,,,,,,,,,
185202,Juan Cruz,,,,,,,,,,
5974,Julián Chicco,,,,,,,,,,
129657,Enric Franquesa,,,,,,,,,,
47494,Miguel de la Fuente,,,,,,,,,,
47416,Óscar Rodríguez,,,,,,,,,,
47361,Darko Brašanac,,,,,,,,,,
47321,Roberto López,,,,,,,,,,
2060,Munir El Haddadi,,,,,,,,,,
2433,Renato Tapia,,,,,,,,,,
327495,Alvin,,,,,,,,,,
2813,Marko Dmitrović,,,,,,,,,,
162122,Adrià Altimira,,,,,,,,,,
2575,Jackson Porozo,,,,,,,,,,
131492,Aritz Arambarri,,,,,,,,,,
1708,Dani Raba,,,,,,,,,,
184481,Diego Garcia,,,,,,,,,,
169295,Karl Hein,,,,,,,,,,
47078,Luis Pérez,,,,,,,,,,
740,Javi Sánchez,,,,,,,,,,
279822,Flavien Boyomo,,,,,,,,,,
56283,Lucas Rosa,,,,,,,,,,
104793,Amath Ndiaye,,,,,,,,,,
107153,Kike Pérez,,,,,,,,,,
48372,Eray Cömert,,,,,,,,,,
8587,Selim Amallah,,,,,,,,,,
264470,Raúl Moro,,,,,,,,,,
8518,Mamadou Sylla,,,,,,,,,,
14341,Stanko Jurić,,,,,,,,,,
46979,Iván Sánchez,,,,,,,,,,
181463,Víctor Meseguer,,,,,,,,,,
298064,David Torres,,,,,,,,,,
331004,Ivan Cantalejo,,,,,,,,,,
